"track_name","track_artist","track_popularity","danceability","energy","speechiness","valence"
"I Don't Care (with Justin Bieber) - Loud Luxury Remix","Ed Sheeran",66,75,92,6,52
"Memories - Dillon Francis Remix","Maroon 5",67,73,82,4,69
"All the Time - Don Diablo Remix","Zara Larsson",70,68,93,7,61
"Call You Mine - Keanu Silva Remix","The Chainsmokers",60,72,93,10,28
"Someone You Loved - Future Humans Remix","Lewis Capaldi",69,65,83,4,72
"Beautiful People (feat. Khalid) - Jack Wins Remix","Ed Sheeran",67,68,92,13,58
"Never Really Over - R3HAB Remix","Katy Perry",62,45,86,6,15
"Post Malone (feat. RANI) - GATTÜSO Remix","Sam Feldt",69,54,90,4,37
"Tough Love - Tiësto Remix / Radio Edit","Avicii",68,59,94,6,37
"If I Can't Have You - Gryffin Remix","Shawn Mendes",67,64,82,3,59
"Cross Me (feat. Chance the Rapper & PnB Rock) - M-22 Remix","Ed Sheeran",58,68,92,18,75
"Hate Me - R3HAB Remix","Ellie Goulding",67,44,77,6,33
"Body On My","Loud Luxury",67,74,73,5,69
"SOS - Laidback Luke Tribute Remix / Radio Edit","Avicii",68,57,92,6,68
"Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) - Tiësto Remix","Martin Garrix",63,69,78,6,24
"South of the Border (feat. Camila Cabello & Cardi B) - Andy Jarvis Remix","Ed Sheeran",66,80,84,9,72
"All My Friends - Eden Prince Remix","AJ Mitchell",60,69,90,9,37
"Say My Name (feat. Bebe Rexha & J Balvin) - Lucas & Steve Remix","David Guetta",65,68,75,16,52
"Dancing With A Stranger (With Normani) - Cheat Codes Remix","Sam Smith",69,75,56,5,32
"Let It Be Me - Sondr Remix","Steve Aoki",35,47,82,9,23
"Heaven - David Guetta & MORTEN Remix","Avicii",70,57,93,4,20
"All Around The World (La La La) - Marnik Remix","R3HAB",64,71,91,3,71
"Don't Leave Me Alone (feat. Anne-Marie) - EDX's Indian Summer Remix","David Guetta",62,68,82,13,34
"Slow Dance (feat. Ava Max) - Sam Feldt Remix","AJ Mitchell",70,73,85,4,37
"Do You Mean (feat. Ty Dolla $ign & bülow) - Myon Remix","The Chainsmokers",58,62,89,4,42
"Hold Me While You Wait - Steve Void Remix","Lewis Capaldi",63,68,76,4,47
"One Thing Right - Firebeatz Remix","Marshmello",66,68,85,4,35
"Close To Me (with Diplo) (feat. Swae Lee) - CID Remix","Ellie Goulding",8,66,90,5,40
"So Am I - Toby Green Remix","Ava Max",62,62,94,5,37
"When You Leave - Breathe Carolina Remix","Nikki Vianna",30,68,91,10,82
"Mother - Fedde Le Grand Remix","Charlie Puth",56,64,87,4,36
"Signs - Eden Prince Remix","Starley",56,70,81,8,50
"Ruin My Life - Steve James Remix","Zara Larsson",58,72,84,4,64
"Torn - KREAM Remix","Ava Max",60,74,86,10,73
"Quite Miss Home - Steve Void Remix","James Arthur",60,72,82,5,35
"Love Me Less (feat. Quinn XCII) - Party Pupils Remix","MAX",55,75,83,12,89
"Happier - Matt Medved Remix","Marshmello",59,82,83,5,79
"Side Effects - Fedde Le Grand Remix","The Chainsmokers",63,63,85,4,66
"Good Things Fall Apart (with Jon Bellion) [Tiësto's Big Room Remix]","ILLENIUM",67,56,81,5,50
"Paradise - Bazzi vs. Black Caviar Remix","Bazzi vs.",55,73,82,5,68
"White Mercedes - EDX's Miami Sunset Remix","Charli XCX",56,85,77,5,59
"Higher Love","Kygo",87,69,68,3,40
"Unlove You","Armin van Buuren",62,68,93,6,66
"bad guy (with Justin Bieber)","Billie Eilish",83,67,45,30,68
"Freaking Me Out - Keanu Silva Remix","Ava Max",55,76,93,6,29
"Heaven Can Wait - The Aston Shuffle Remix","Sia",61,62,86,6,44
"When It Comes To You - Benny Benassi & BB Team Remix","Sean Paul",56,79,89,17,41
"Gone - The Wild Remix","Charli XCX",57,64,84,4,59
"American Boy - Brooks Remix","Estelle",56,61,76,11,53
"Million Pieces - M-22 Remix","Bastille",53,64,99,6,48
"joy. (R3HAB Remix)","for KING & COUNTRY",56,75,81,6,48
"Crash Into Me - Settle Down Steavis Aoki Remix","Steve Aoki",34,54,96,3,12
"Old Town Road - Diplo Remix","Lil Nas X",74,77,77,6,30
"Lovers + Strangers - GATTÜSO Remix","Starley",46,65,82,5,39
"Promises (with Sam Smith) - David Guetta Remix","Calvin Harris",63,59,70,4,22
"Flames (with ZAYN) - R3HAB & Skytech VIP Remix","R3HAB",55,36,79,16,17
"What Am I - SONDR Remix","Why Don't We",52,54,84,4,51
"Cool Kids","Olympis",67,74,50,5,12
"Loco Contigo (with J. Balvin & Tyga) - Cedric Gervais Remix","DJ Snake",63,75,84,4,46
"All Star - Breathe Carolina Remix","Smash Mouth",60,75,90,4,75
"Trampoline - Dave Audé Remix","SHAED",45,61,96,10,50
